Monitoring Date,Officer ID,Officer Name,Site ID,Site Name,Site Location,Activity ID,Activity Type,Activity Description,Activity Duration (hours),Equipment Used,Pollution Level Detected,Compliance Status,Community Feedback Rating,Transaction ID
10/21/2022,20,Beth Smith,20,Speers Point Park,"Park Road, Speers Point, NSW 2284",283,Noise Level Measurement,Description 140,1.47,Equipment 3,207.54,Compliant,1,1894
4/27/2022,25,Tina Scott,5,Warners Bay Foreshore,"The Esplanade, Warners Bay, NSW 2282",769,Air Quality Check,Description 90,3.85,Equipment 12,149.18,Non-Compliant,4,1749
4/21/2022,10,Laura Clark,17,Redhead Beach,"Beach Road, Redhead, NSW 2290",174,Soil Quality Test,Description 89,4.79,Equipment 2,487.78,Compliant,4,764
2/8/2022,22,Grace Jones,12,Glenrock State Conservation Area,"Scout Camp Road, Whitebridge, NSW 2290",1,Water Quality Test,Description 120,5.93,Equipment 8,27.21,Compliant,3,672
8/9/2022,24,Rachel King,18,Hunter Wetlands Centre,"Sandgate Road, Shortland, NSW 2307",513,Air Quality Check,Description 163,7.54,Equipment 13,345.96,Compliant,1,1291
10/16/2022,8,Natalie Walker,20,Croudace Bay Park,"Brooks Parade, Belmont, NSW 2280",321,Noise Level Measurement,Description 172,4.11,Equipment 5,136.82,Compliant,2,906
5/29/2022,11,Megan Lewis,18,Belmont Wetlands State Park,"Kalaroo Road, Redhead, NSW 2290",443,Water Quality Test,Description 31,6.51,Equipment 11,64.42,Compliant,5,1096
11/23/2022,14,Zoe Ward,2,Jesmond Park,"Robinson Avenue, Jesmond, NSW 2299",965,Noise Level Measurement,Description 5,5.88,Equipment 11,282.62,Compliant,5,629
3/4/2022,21,Paula Young,17,Mount Sugarloaf,"Mount Sugarloaf Road, West Wallsend, NSW 2286",341,Water Quality Test,Description 154,4.4,Equipment 16,103.1,Compliant,4,4390
2/5/2022,9,Megan Lewis,11,Charlestown Park,"Frederick Street, Charlestown, NSW 2290",565,Soil Quality Test,Description 63,4.54,Equipment 9,91.42,Non-Compliant,1,2988
11/20/2022,8,Alice Johnson,12,Toronto Foreshore,"Victory Parade, Toronto, NSW 2283",805,Noise Level Measurement,Description 148,7.27,Equipment 14,172.3,Non-Compliant,4,1596
7/5/2022,9,Catherine Lee,14,Watagan Mountains,"Watagan Forest Road, Watagan Mountains, NSW 2325",887,Noise Level Measurement,Description 178,6.13,Equipment 14,346.48,Compliant,3,3453
3/10/2022,23,Isabella Thompson,14,Awaba State Forest,"Mount Faulk Road, Awaba, NSW 2283",708,Soil Quality Test,Description 82,7.16,Equipment 3,345.01,Non-Compliant,1,4752
10/7/2022,10,Rachel King,21,Heaton State Forest,"Heaton Road, Awaba, NSW 2283",960,Noise Level Measurement,Description 87,4.72,Equipment 5,461.5,Non-Compliant,5,1485
1/31/2022,2,Uma Allen,19,Lambton Park,"Morehead Street, Lambton, NSW 2299",448,Noise Level Measurement,Description 78,4.72,Equipment 12,108.97,Compliant,5,2418
2/22/2022,25,Natalie Walker,1,Richley Reserve,"Carnley Avenue, Kotara, NSW 2289",308,Soil Quality Test,Description 174,1.6,Equipment 2,333.11,Non-Compliant,1,3641
3/26/2022,11,Rachel King,4,Braye Park,"Wrightson Avenue, Bar Beach, NSW 2300",1,Noise Level Measurement,Description 132,7.31,Equipment 8,61.92,Non-Compliant,5,4010
7/11/2022,8,Samantha Wright,2,Waratah Park,"Turton Road, Waratah, NSW 2298",147,Noise Level Measurement,Description 13,1.12,Equipment 16,241.53,Compliant,2,3655
8/14/2022,7,Ella Brown,15,King Edward Park,"Reserve Road, Newcastle, NSW 2300",314,Soil Quality Test,Description 20,5.63,Equipment 13,8.99,Non-Compliant,1,3053
1/9/2022,20,Laura Clark,21,Blackbutt Nature Reserve,"Carnley Avenue, Kotara, NSW 2289",797,Noise Level Measurement,Description 136,6.41,Equipment 8,96.55,Compliant,1,2911
9/4/2022,3,Kate Harris,18,King Edward Park,"Reserve Road, Newcastle, NSW 2300",861,Air Quality Check,Description 34,5.11,Equipment 18,139.9,Compliant,2,2802
3/18/2022,3,Xena Perez,17,Newcastle Beach,"Shortland Esplanade, Newcastle, NSW 2300",693,Air Quality Check,Description 31,1.13,Equipment 15,71.98,Non-Compliant,1,3970
5/15/2022,16,Zoe Ward,11,Merewether Beach,"John Parade, Merewether, NSW 2291",329,Air Quality Check,Description 123,4.54,Equipment 15,142.02,Non-Compliant,1,3131
1/21/2022,12,Laura Clark,14,Nobbys Beach,"Wharf Road, Newcastle East, NSW 2300",888,Soil Quality Test,Description 146,2.36,Equipment 8,251.49,Non-Compliant,4,3659
8/21/2022,21,Natalie Walker,21,Speers Point Park,"Park Road, Speers Point, NSW 2284",734,Air Quality Check,Description 132,1.47,Equipment 14,286.58,Non-Compliant,3,2260
10/16/2022,24,Diana Taylor,18,Warners Bay Foreshore,"The Esplanade, Warners Bay, NSW 2282",237,Noise Level Measurement,Description 82,5.81,Equipment 13,413.28,Compliant,5,837
8/16/2022,3,Wendy Mitchell,2,Redhead Beach,"Beach Road, Redhead, NSW 2290",513,Soil Quality Test,Description 106,2.61,Equipment 12,343.96,Non-Compliant,2,3890
3/5/2022,6,Yvonne Cook,23,Glenrock State Conservation Area,"Scout Camp Road, Whitebridge, NSW 2290",518,Soil Quality Test,Description 146,3.47,Equipment 4,35.52,Non-Compliant,4,3790
2/6/2022,12,Diana Taylor,9,Hunter Wetlands Centre,"Sandgate Road, Shortland, NSW 2307",839,Air Quality Check,Description 45,1.55,Equipment 13,100.7,Compliant,2,1908
3/4/2022,12,Natalie Walker,23,Croudace Bay Park,"Brooks Parade, Belmont, NSW 2280",904,Noise Level Measurement,Description 60,6.5,Equipment 10,181.39,Compliant,4,661
3/2/2022,1,Hannah Moore,7,Belmont Wetlands State Park,"Kalaroo Road, Redhead, NSW 2290",135,Noise Level Measurement,Description 133,6.18,Equipment 16,307.13,Compliant,4,1309
9/10/2022,7,Beth Smith,16,Jesmond Park,"Robinson Avenue, Jesmond, NSW 2299",386,Air Quality Check,Description 76,3.45,Equipment 5,263.91,Non-Compliant,1,1798
3/13/2022,20,Diana Taylor,12,Mount Sugarloaf,"Mount Sugarloaf Road, West Wallsend, NSW 2286",440,Noise Level Measurement,Description 77,5.43,Equipment 1,30.44,Non-Compliant,4,503
10/6/2022,25,Olivia Hall,4,Charlestown Park,"Frederick Street, Charlestown, NSW 2290",129,Soil Quality Test,Description 153,4.94,Equipment 9,93.7,Non-Compliant,2,200
2/15/2022,2,Diana Taylor,2,Toronto Foreshore,"Victory Parade, Toronto, NSW 2283",689,Air Quality Check,Description 92,6.3,Equipment 1,243.23,Compliant,3,3441
1/4/2022,13,Natalie Walker,10,Watagan Mountains,"Watagan Forest Road, Watagan Mountains, NSW 2325",299,Air Quality Check,Description 47,6.91,Equipment 5,56.53,Compliant,3,3149
8/12/2022,6,Kate Harris,15,Awaba State Forest,"Mount Faulk Road, Awaba, NSW 2283",376,Water Quality Test,Description 163,2.46,Equipment 16,225.48,Non-Compliant,4,1549
1/7/2022,7,Isabella Thompson,10,Heaton State Forest,"Heaton Road, Awaba, NSW 2283",504,Noise Level Measurement,Description 133,7.71,Equipment 10,403.5,Compliant,4,1889
5/8/2022,3,Kate Harris,4,Lambton Park,"Morehead Street, Lambton, NSW 2299",181,Water Quality Test,Description 42,2.82,Equipment 2,164.43,Compliant,5,2059
3/20/2022,9,Olivia Hall,13,Richley Reserve,"Carnley Avenue, Kotara, NSW 2289",628,Noise Level Measurement,Description 43,1.27,Equipment 8,228.27,Non-Compliant,3,4951
1/14/2022,19,Uma Allen,3,Braye Park,"Wrightson Avenue, Bar Beach, NSW 2300",954,Air Quality Check,Description 7,1.58,Equipment 7,3.83,Non-Compliant,4,688
2/16/2022,5,Diana Taylor,9,Waratah Park,"Turton Road, Waratah, NSW 2298",417,Water Quality Test,Description 12,4.67,Equipment 11,486.41,Non-Compliant,2,3618
10/23/2022,23,Xena Perez,10,King Edward Park,"Reserve Road, Newcastle, NSW 2300",108,Soil Quality Test,Description 69,5.72,Equipment 6,349.95,Compliant,2,2335
5/28/2022,8,Kate Harris,6,Blackbutt Nature Reserve,"Carnley Avenue, Kotara, NSW 2289",422,Air Quality Check,Description 92,1.23,Equipment 2,65.32,Compliant,3,46
1/7/2022,19,Laura Clark,1,King Edward Park,"Reserve Road, Newcastle, NSW 2300",375,Air Quality Check,Description 124,1.98,Equipment 1,458.74,Compliant,5,1138
1/26/2022,25,Zoe Ward,16,Newcastle Beach,"Shortland Esplanade, Newcastle, NSW 2300",816,Water Quality Test,Description 7,4.23,Equipment 5,63.41,Compliant,3,3820
6/17/2022,18,Tina Scott,6,Merewether Beach,"John Parade, Merewether, NSW 2291",810,Air Quality Check,Description 186,7.16,Equipment 4,53.28,Non-Compliant,1,2224
10/24/2022,17,Tina Scott,16,Nobbys Beach,"Wharf Road, Newcastle East, NSW 2300",35,Air Quality Check,Description 160,1.5,Equipment 10,208.71,Compliant,3,1147
10/8/2022,19,Wendy Mitchell,8,Speers Point Park,"Park Road, Speers Point, NSW 2284",204,Noise Level Measurement,Description 94,7.93,Equipment 17,267.02,Compliant,4,868
6/22/2022,9,Ella Brown,21,Warners Bay Foreshore,"The Esplanade, Warners Bay, NSW 2282",822,Air Quality Check,Description 97,3.58,Equipment 14,286.47,Non-Compliant,2,1863
3/19/2022,5,Xena Perez,7,Redhead Beach,"Beach Road, Redhead, NSW 2290",450,Air Quality Check,Description 6,4.81,Equipment 3,188.37,Non-Compliant,4,339
10/5/2022,1,Grace Jones,24,Glenrock State Conservation Area,"Scout Camp Road, Whitebridge, NSW 2290",305,Water Quality Test,Description 77,5.51,Equipment 9,54.35,Non-Compliant,5,881
7/25/2022,4,Vicky Turner,17,Hunter Wetlands Centre,"Sandgate Road, Shortland, NSW 2307",103,Soil Quality Test,Description 182,6.55,Equipment 8,241.41,Non-Compliant,1,314
6/22/2022,5,Hannah Moore,16,Croudace Bay Park,"Brooks Parade, Belmont, NSW 2280",715,Water Quality Test,Description 40,7.24,Equipment 3,431.61,Compliant,2,3064
8/6/2022,21,Jane White,13,Belmont Wetlands State Park,"Kalaroo Road, Redhead, NSW 2290",332,Air Quality Check,Description 133,4.05,Equipment 10,123.77,Compliant,2,3467
7/7/2022,15,Wendy Mitchell,23,Jesmond Park,"Robinson Avenue, Jesmond, NSW 2299",548,Water Quality Test,Description 120,6.52,Equipment 18,235.91,Compliant,5,119
4/30/2022,11,Paula Young,8,Mount Sugarloaf,"Mount Sugarloaf Road, West Wallsend, NSW 2286",111,Air Quality Check,Description 187,5.65,Equipment 16,66.39,Compliant,4,173
8/3/2022,5,Ella Brown,19,Charlestown Park,"Frederick Street, Charlestown, NSW 2290",965,Water Quality Test,Description 50,2.12,Equipment 19,183.5,Non-Compliant,5,3950
4/9/2022,9,Megan Lewis,3,Toronto Foreshore,"Victory Parade, Toronto, NSW 2283",931,Air Quality Check,Description 156,5.72,Equipment 13,408.57,Non-Compliant,4,3788
2/11/2022,13,Rachel King,13,Watagan Mountains,"Watagan Forest Road, Watagan Mountains, NSW 2325",1,Water Quality Test,Description 200,4.35,Equipment 3,384.24,Non-Compliant,2,3112
4/24/2022,17,Alice Johnson,12,Awaba State Forest,"Mount Faulk Road, Awaba, NSW 2283",758,Soil Quality Test,Description 37,2.86,Equipment 1,281.57,Non-Compliant,2,2298
11/30/2022,16,Isabella Thompson,10,Heaton State Forest,"Heaton Road, Awaba, NSW 2283",113,Soil Quality Test,Description 175,1.46,Equipment 18,464.57,Non-Compliant,4,3694
12/30/2022,16,Kate Harris,13,Lambton Park,"Morehead Street, Lambton, NSW 2299",828,Air Quality Check,Description 59,2.21,Equipment 15,461.94,Compliant,3,2621
12/19/2022,10,Zoe Ward,22,Richley Reserve,"Carnley Avenue, Kotara, NSW 2289",217,Water Quality Test,Description 133,2.6,Equipment 1,124.13,Compliant,2,4417
4/12/2022,5,Wendy Mitchell,18,Braye Park,"Wrightson Avenue, Bar Beach, NSW 2300",620,Air Quality Check,Description 101,4.77,Equipment 3,139.38,Compliant,2,37
7/14/2022,4,Xena Perez,21,Waratah Park,"Turton Road, Waratah, NSW 2298",569,Water Quality Test,Description 139,7.97,Equipment 19,74.39,Non-Compliant,5,3822
4/11/2022,19,Alice Johnson,9,King Edward Park,"Reserve Road, Newcastle, NSW 2300",824,Soil Quality Test,Description 1,3.1,Equipment 8,317.52,Non-Compliant,5,1529
11/22/2022,10,Wendy Mitchell,8,Blackbutt Nature Reserve,"Carnley Avenue, Kotara, NSW 2289",180,Water Quality Test,Description 129,4.26,Equipment 4,227.11,Compliant,4,2768
7/5/2022,4,Uma Allen,6,King Edward Park,"Reserve Road, Newcastle, NSW 2300",277,Water Quality Test,Description 83,4.61,Equipment 11,100.4,Compliant,1,3875
11/7/2022,10,Natalie Walker,3,Newcastle Beach,"Shortland Esplanade, Newcastle, NSW 2300",434,Air Quality Check,Description 18,2.54,Equipment 9,112.95,Non-Compliant,3,3262
6/19/2022,2,Grace Jones,10,Merewether Beach,"John Parade, Merewether, NSW 2291",937,Air Quality Check,Description 77,5.06,Equipment 16,489.64,Non-Compliant,4,4649
1/7/2022,2,Zoe Ward,23,Nobbys Beach,"Wharf Road, Newcastle East, NSW 2300",211,Air Quality Check,Description 94,7.43,Equipment 13,18.21,Compliant,2,2611
8/22/2022,13,Diana Taylor,13,Speers Point Park,"Park Road, Speers Point, NSW 2284",23,Water Quality Test,Description 40,3.52,Equipment 2,73.55,Compliant,1,3650
11/4/2022,25,Jane White,7,Warners Bay Foreshore,"The Esplanade, Warners Bay, NSW 2282",316,Soil Quality Test,Description 39,1.36,Equipment 1,381.26,Compliant,4,850
12/26/2022,21,Uma Allen,19,Redhead Beach,"Beach Road, Redhead, NSW 2290",45,Noise Level Measurement,Description 38,1.22,Equipment 7,96.83,Non-Compliant,2,3689
2/4/2022,10,Rachel King,15,Glenrock State Conservation Area,"Scout Camp Road, Whitebridge, NSW 2290",717,Soil Quality Test,Description 85,5.97,Equipment 18,167.14,Non-Compliant,2,4616
3/15/2022,8,Alice Johnson,17,Hunter Wetlands Centre,"Sandgate Road, Shortland, NSW 2307",868,Water Quality Test,Description 69,2.93,Equipment 20,23.14,Non-Compliant,2,3570
8/28/2022,23,Fiona Wilson,21,Croudace Bay Park,"Brooks Parade, Belmont, NSW 2280",487,Water Quality Test,Description 198,1.04,Equipment 1,154.83,Compliant,3,578
9/17/2022,20,Vicky Turner,17,Belmont Wetlands State Park,"Kalaroo Road, Redhead, NSW 2290",609,Water Quality Test,Description 8,7.57,Equipment 6,130.06,Non-Compliant,1,1009
6/2/2022,18,Kate Harris,7,Jesmond Park,"Robinson Avenue, Jesmond, NSW 2299",296,Noise Level Measurement,Description 134,4.84,Equipment 13,119.6,Non-Compliant,2,192
7/11/2022,8,Isabella Thompson,6,Mount Sugarloaf,"Mount Sugarloaf Road, West Wallsend, NSW 2286",616,Noise Level Measurement,Description 177,7.74,Equipment 5,76.91,Non-Compliant,5,4392
11/7/2022,9,Alice Johnson,24,Charlestown Park,"Frederick Street, Charlestown, NSW 2290",74,Water Quality Test,Description 143,4.87,Equipment 10,340.24,Compliant,3,3852
12/9/2022,14,Grace Jones,21,Toronto Foreshore,"Victory Parade, Toronto, NSW 2283",833,Noise Level Measurement,Description 109,2.41,Equipment 5,234.46,Non-Compliant,4,2210
6/1/2022,6,Uma Allen,4,Watagan Mountains,"Watagan Forest Road, Watagan Mountains, NSW 2325",62,Air Quality Check,Description 26,3.79,Equipment 15,9.92,Non-Compliant,4,3709
10/7/2022,6,Laura Clark,9,Awaba State Forest,"Mount Faulk Road, Awaba, NSW 2283",19,Soil Quality Test,Description 154,5.59,Equipment 1,415.19,Non-Compliant,2,2723
2/7/2022,20,Uma Allen,10,Heaton State Forest,"Heaton Road, Awaba, NSW 2283",546,Air Quality Check,Description 71,6.59,Equipment 1,257.42,Compliant,5,4279
10/14/2022,14,Jane White,18,Lambton Park,"Morehead Street, Lambton, NSW 2299",150,Air Quality Check,Description 110,4.86,Equipment 19,323.79,Compliant,5,736
1/29/2022,10,Jane White,16,Richley Reserve,"Carnley Avenue, Kotara, NSW 2289",629,Soil Quality Test,Description 89,3.38,Equipment 9,44,Non-Compliant,1,1286
6/5/2022,25,Alice Johnson,2,Braye Park,"Wrightson Avenue, Bar Beach, NSW 2300",381,Soil Quality Test,Description 6,1.64,Equipment 4,450.66,Non-Compliant,5,3474
5/2/2022,19,Laura Clark,16,Waratah Park,"Turton Road, Waratah, NSW 2298",241,Water Quality Test,Description 134,1.19,Equipment 4,128.61,Non-Compliant,5,2759
8/27/2022,5,Alice Johnson,13,King Edward Park,"Reserve Road, Newcastle, NSW 2300",68,Soil Quality Test,Description 12,3.08,Equipment 10,28.2,Compliant,2,1938
3/23/2022,3,Samantha Wright,23,Blackbutt Nature Reserve,"Carnley Avenue, Kotara, NSW 2289",747,Soil Quality Test,Description 170,6.99,Equipment 4,372.43,Non-Compliant,2,873
11/18/2022,2,Kate Harris,1,King Edward Park,"Reserve Road, Newcastle, NSW 2300",926,Noise Level Measurement,Description 82,3.57,Equipment 4,325.5,Non-Compliant,5,3955
11/17/2022,19,Laura Clark,6,Newcastle Beach,"Shortland Esplanade, Newcastle, NSW 2300",407,Air Quality Check,Description 83,1.13,Equipment 15,209.23,Compliant,2,265
3/4/2022,23,Uma Allen,19,Merewether Beach,"John Parade, Merewether, NSW 2291",411,Soil Quality Test,Description 31,7.07,Equipment 13,180.35,Non-Compliant,4,4348
4/29/2022,21,Beth Smith,13,Nobbys Beach,"Wharf Road, Newcastle East, NSW 2300",694,Noise Level Measurement,Description 88,4.93,Equipment 19,150.92,Compliant,1,1939
2/4/2022,15,Zoe Ward,20,Speers Point Park,"Park Road, Speers Point, NSW 2284",463,Noise Level Measurement,Description 97,6.54,Equipment 15,255.89,Compliant,5,1981
7/28/2022,4,Yvonne Cook,17,Warners Bay Foreshore,"The Esplanade, Warners Bay, NSW 2282",703,Air Quality Check,Description 91,7.38,Equipment 18,330.36,Non-Compliant,4,2908
6/8/2022,22,Uma Allen,6,Redhead Beach,"Beach Road, Redhead, NSW 2290",606,Water Quality Test,Description 111,5.16,Equipment 15,479.57,Non-Compliant,5,2461
9/26/2022,7,Alice Johnson,24,Glenrock State Conservation Area,"Scout Camp Road, Whitebridge, NSW 2290",112,Soil Quality Test,Description 73,5.3,Equipment 1,150.95,Non-Compliant,1,1482
12/21/2022,12,Diana Taylor,18,Hunter Wetlands Centre,"Sandgate Road, Shortland, NSW 2307",561,Soil Quality Test,Description 127,4.62,Equipment 19,65.88,Compliant,5,393
12/2/2022,25,Hannah Moore,13,Croudace Bay Park,"Brooks Parade, Belmont, NSW 2280",785,Air Quality Check,Description 163,4.52,Equipment 8,193.22,Non-Compliant,2,4760
9/4/2022,11,Isabella Thompson,22,Belmont Wetlands State Park,"Kalaroo Road, Redhead, NSW 2290",298,Soil Quality Test,Description 13,6.56,Equipment 11,496.84,Non-Compliant,4,1476
7/16/2022,12,Yvonne Cook,6,Jesmond Park,"Robinson Avenue, Jesmond, NSW 2299",3,Water Quality Test,Description 73,4.99,Equipment 6,353.3,Compliant,5,24
7/19/2022,12,Kate Harris,22,Mount Sugarloaf,"Mount Sugarloaf Road, West Wallsend, NSW 2286",982,Air Quality Check,Description 195,6.57,Equipment 15,151.05,Non-Compliant,5,2333
6/10/2022,15,Zoe Ward,16,Charlestown Park,"Frederick Street, Charlestown, NSW 2290",326,Air Quality Check,Description 164,3.47,Equipment 12,410.34,Non-Compliant,3,3058
12/23/2022,5,Isabella Thompson,3,Toronto Foreshore,"Victory Parade, Toronto, NSW 2283",812,Air Quality Check,Description 107,1.85,Equipment 9,166.67,Compliant,5,128
7/4/2022,18,Beth Smith,9,Watagan Mountains,"Watagan Forest Road, Watagan Mountains, NSW 2325",75,Soil Quality Test,Description 37,5.65,Equipment 17,426.11,Non-Compliant,4,2353
9/26/2022,4,Natalie Walker,8,Awaba State Forest,"Mount Faulk Road, Awaba, NSW 2283",731,Water Quality Test,Description 44,5.84,Equipment 19,12.16,Non-Compliant,5,3600
5/17/2022,6,Olivia Hall,7,Heaton State Forest,"Heaton Road, Awaba, NSW 2283",481,Air Quality Check,Description 151,6.16,Equipment 3,10.76,Compliant,2,818
7/7/2022,14,Fiona Wilson,5,Lambton Park,"Morehead Street, Lambton, NSW 2299",231,Noise Level Measurement,Description 149,6.04,Equipment 20,6.77,Compliant,2,4154
1/22/2022,13,Natalie Walker,16,Richley Reserve,"Carnley Avenue, Kotara, NSW 2289",182,Water Quality Test,Description 141,1.96,Equipment 12,252.6,Compliant,2,1486
1/18/2022,19,Paula Young,1,Braye Park,"Wrightson Avenue, Bar Beach, NSW 2300",460,Water Quality Test,Description 135,6.15,Equipment 12,399.75,Compliant,4,2350
8/3/2022,14,Tina Scott,15,Waratah Park,"Turton Road, Waratah, NSW 2298",448,Noise Level Measurement,Description 195,4.26,Equipment 14,491.39,Non-Compliant,2,191
2/13/2022,21,Isabella Thompson,9,King Edward Park,"Reserve Road, Newcastle, NSW 2300",338,Soil Quality Test,Description 114,2.44,Equipment 16,499.93,Non-Compliant,1,3301
5/9/2022,19,Yvonne Cook,3,Blackbutt Nature Reserve,"Carnley Avenue, Kotara, NSW 2289",250,Soil Quality Test,Description 199,6.42,Equipment 7,424.8,Non-Compliant,1,2884
6/26/2022,23,Yvonne Cook,18,King Edward Park,"Reserve Road, Newcastle, NSW 2300",278,Noise Level Measurement,Description 158,7.7,Equipment 15,255.84,Non-Compliant,2,4587
5/19/2022,20,Isabella Thompson,22,Newcastle Beach,"Shortland Esplanade, Newcastle, NSW 2300",713,Soil Quality Test,Description 23,4.04,Equipment 11,463.6,Non-Compliant,2,4354
2/26/2022,22,Yvonne Cook,9,Merewether Beach,"John Parade, Merewether, NSW 2291",991,Noise Level Measurement,Description 66,5.99,Equipment 18,421.76,Non-Compliant,3,932
12/6/2022,16,Tina Scott,22,Nobbys Beach,"Wharf Road, Newcastle East, NSW 2300",243,Noise Level Measurement,Description 62,5.61,Equipment 16,167.85,Non-Compliant,2,2799
8/20/2022,7,Rachel King,21,Speers Point Park,"Park Road, Speers Point, NSW 2284",292,Noise Level Measurement,Description 83,7.39,Equipment 15,285.07,Compliant,4,430
9/10/2022,11,Catherine Lee,15,Warners Bay Foreshore,"The Esplanade, Warners Bay, NSW 2282",716,Noise Level Measurement,Description 153,6.37,Equipment 19,102.89,Compliant,5,4193
10/11/2022,24,Isabella Thompson,23,Redhead Beach,"Beach Road, Redhead, NSW 2290",156,Soil Quality Test,Description 74,6.97,Equipment 11,163.06,Compliant,4,2268
9/28/2022,4,Kate Harris,24,Glenrock State Conservation Area,"Scout Camp Road, Whitebridge, NSW 2290",172,Air Quality Check,Description 182,3.97,Equipment 3,197.8,Non-Compliant,2,1989
4/10/2022,25,Uma Allen,2,Hunter Wetlands Centre,"Sandgate Road, Shortland, NSW 2307",783,Noise Level Measurement,Description 148,7.3,Equipment 17,495.58,Non-Compliant,1,1781
11/1/2022,16,Uma Allen,15,Croudace Bay Park,"Brooks Parade, Belmont, NSW 2280",701,Soil Quality Test,Description 146,3.16,Equipment 4,335.67,Non-Compliant,5,1820
2/5/2022,17,Zoe Ward,1,Belmont Wetlands State Park,"Kalaroo Road, Redhead, NSW 2290",218,Air Quality Check,Description 55,2.47,Equipment 7,33.61,Compliant,1,4641
4/19/2022,24,Tina Scott,18,Jesmond Park,"Robinson Avenue, Jesmond, NSW 2299",392,Noise Level Measurement,Description 140,3.29,Equipment 19,62.8,Compliant,1,2140
11/10/2022,17,Zoe Ward,14,Mount Sugarloaf,"Mount Sugarloaf Road, West Wallsend, NSW 2286",881,Air Quality Check,Description 30,5.7,Equipment 20,168.25,Non-Compliant,3,4185
10/10/2022,14,Vicky Turner,18,Charlestown Park,"Frederick Street, Charlestown, NSW 2290",110,Soil Quality Test,Description 58,1.24,Equipment 18,439.34,Compliant,2,4636
10/5/2022,8,Xena Perez,9,Toronto Foreshore,"Victory Parade, Toronto, NSW 2283",803,Noise Level Measurement,Description 43,3.92,Equipment 16,387.72,Non-Compliant,5,273
5/31/2022,19,Laura Clark,3,Watagan Mountains,"Watagan Forest Road, Watagan Mountains, NSW 2325",469,Water Quality Test,Description 17,2.23,Equipment 13,226.2,Compliant,5,3355
10/27/2022,14,Jane White,7,Awaba State Forest,"Mount Faulk Road, Awaba, NSW 2283",176,Air Quality Check,Description 83,2.44,Equipment 13,2.47,Compliant,2,2472
7/10/2022,23,Xena Perez,15,Heaton State Forest,"Heaton Road, Awaba, NSW 2283",67,Soil Quality Test,Description 30,1.74,Equipment 11,70.73,Non-Compliant,5,2742
1/30/2022,3,Ella Brown,4,Lambton Park,"Morehead Street, Lambton, NSW 2299",608,Noise Level Measurement,Description 63,3.36,Equipment 5,57.07,Compliant,3,149
5/27/2022,12,Paula Young,4,Richley Reserve,"Carnley Avenue, Kotara, NSW 2289",205,Noise Level Measurement,Description 119,6.14,Equipment 5,42.84,Non-Compliant,4,4581
11/16/2022,18,Grace Jones,19,Braye Park,"Wrightson Avenue, Bar Beach, NSW 2300",447,Noise Level Measurement,Description 141,7.13,Equipment 3,465.71,Compliant,1,2416
10/24/2022,9,Diana Taylor,13,Waratah Park,"Turton Road, Waratah, NSW 2298",735,Air Quality Check,Description 60,3.55,Equipment 1,294.58,Non-Compliant,1,1346
2/13/2022,22,Megan Lewis,4,King Edward Park,"Reserve Road, Newcastle, NSW 2300",984,Water Quality Test,Description 199,1.8,Equipment 2,36.26,Non-Compliant,1,994
7/20/2022,18,Olivia Hall,20,Blackbutt Nature Reserve,"Carnley Avenue, Kotara, NSW 2289",566,Air Quality Check,Description 71,7.99,Equipment 10,430.87,Non-Compliant,3,3875
11/4/2022,1,Fiona Wilson,12,King Edward Park,"Reserve Road, Newcastle, NSW 2300",614,Water Quality Test,Description 154,2.39,Equipment 5,499.65,Compliant,3,3476
1/22/2022,13,Isabella Thompson,2,Newcastle Beach,"Shortland Esplanade, Newcastle, NSW 2300",595,Soil Quality Test,Description 63,7.93,Equipment 19,299.3,Compliant,2,1641
7/21/2022,22,Laura Clark,10,Merewether Beach,"John Parade, Merewether, NSW 2291",224,Air Quality Check,Description 134,3.66,Equipment 8,152.31,Non-Compliant,3,4284
12/20/2022,8,Zoe Ward,10,Nobbys Beach,"Wharf Road, Newcastle East, NSW 2300",517,Water Quality Test,Description 86,3.53,Equipment 3,452.83,Compliant,3,1561
7/21/2022,13,Paula Young,16,Speers Point Park,"Park Road, Speers Point, NSW 2284",629,Water Quality Test,Description 68,4.35,Equipment 1,179.49,Compliant,2,861
5/2/2022,9,Uma Allen,7,Warners Bay Foreshore,"The Esplanade, Warners Bay, NSW 2282",411,Water Quality Test,Description 164,2.02,Equipment 15,329.22,Non-Compliant,4,3015
4/23/2022,16,Paula Young,15,Redhead Beach,"Beach Road, Redhead, NSW 2290",465,Water Quality Test,Description 190,6.23,Equipment 9,358.01,Non-Compliant,2,1385
6/24/2022,13,Rachel King,17,Glenrock State Conservation Area,"Scout Camp Road, Whitebridge, NSW 2290",897,Soil Quality Test,Description 137,5.52,Equipment 11,5.14,Non-Compliant,5,3978
3/20/2022,1,Catherine Lee,13,Hunter Wetlands Centre,"Sandgate Road, Shortland, NSW 2307",242,Soil Quality Test,Description 182,2.34,Equipment 20,390.46,Compliant,3,2319
9/16/2022,13,Yvonne Cook,3,Croudace Bay Park,"Brooks Parade, Belmont, NSW 2280",307,Noise Level Measurement,Description 175,4.94,Equipment 12,56.48,Non-Compliant,1,2189
8/5/2022,20,Wendy Mitchell,20,Belmont Wetlands State Park,"Kalaroo Road, Redhead, NSW 2290",272,Noise Level Measurement,Description 95,4.56,Equipment 11,252.63,Non-Compliant,5,2117
